Reference,Value,Footprint,
BT1,Battery,mylib:pin_con_2mm,Å†
C01,47u,Capacitors_SMD:C_0603_HandSoldering,Å†
C02,47u,Capacitors_SMD:C_0603_HandSoldering,Å†
C03,10u,Capacitors_SMD:C_0603_HandSoldering,Å†
C04,10u,Capacitors_SMD:C_0603_HandSoldering,Å†
C05,0.1u,Capacitors_SMD:C_0603_HandSoldering,Å†
C06,0.1u,Capacitors_SMD:C_0603_HandSoldering,Å†
C07,0.1u,Capacitors_SMD:C_0603_HandSoldering,Å†
C08,0.1u,Capacitors_SMD:C_0603_HandSoldering,Å†
C09,0.1u,Capacitors_SMD:C_0603_HandSoldering,Å†
C10,0.1u,Capacitors_SMD:C_0603_HandSoldering,Å†
C11,0.1u,Capacitors_SMD:C_0603_HandSoldering,Å†
C12,8p,Capacitors_SMD:C_0603_HandSoldering,Å†
C13,8p,Capacitors_SMD:C_0603_HandSoldering,Å†
C14,0.1u,Capacitors_SMD:C_0603_HandSoldering,Å†
C15,0.1u,Capacitors_SMD:C_0603_HandSoldering,Å†
C16,470p,Capacitors_SMD:C_0603_HandSoldering,Å†
C17,470p,Capacitors_SMD:C_0603_HandSoldering,Å†
C18,2.2u,mylib:c_elec_4x3.0,Å†
C19,2.2u,mylib:c_elec_4x3.0,Å†
C20,4.7u,Capacitors_SMD:C_0603_HandSoldering,Å†
C21,2.2n,Capacitors_SMD:C_0603_HandSoldering,Å†
C22,0.1u,Capacitors_SMD:C_0603_HandSoldering,Å†
C23,0.1u,Capacitors_SMD:C_0603_HandSoldering,Å†
C24,4.7u,Capacitors_SMD:C_0603_HandSoldering,Å†
C25,47u,Capacitors_SMD:C_0603_HandSoldering,Å†
C26,0.1u,Capacitors_SMD:C_0603_HandSoldering,Å†
C27,0.1u,Capacitors_SMD:C_0603_HandSoldering,Å†
D01,LED,LEDs:LED_0603,Å†
D02,LED,LEDs:LED_0603,Å†
D03,LED,LEDs:LED_0603,Å†
D04,LED,LEDs:LED_0603,Å†
D05,LED,LEDs:LED_0603,Å†
D06,LED,LEDs:LED_0603,Å†
D07,SFH4550,LEDs:LED-3MM,Å†
D08,SFH4550,LEDs:LED-3MM,Å†
D09,SFH4550,LEDs:LED-3MM,Å†
D10,SFH4550,LEDs:LED-3MM,Å†
D11,LED,LEDs:LED_0603,Å†
D12,D_Schottky,mylib:SOD-128,Å†
IC1,TB6614FNG,Housings_SSOP:SSOP-16_4.4x5.2mm_Pitch0.65mm,Å†
IC2,TB6614FNG,Housings_SSOP:SSOP-16_4.4x5.2mm_Pitch0.65mm,Å†
IC3,FT234X,,
IC4,MIC5129,TO_SOT_Packages_SMD:SOT-23-5,Å†
IC5,MIC5129,TO_SOT_Packages_SMD:SOT-23-5,Å†
IC6,MPU-6000,Housings_DFN_QFN:QFN-24-1EP_4x4mm_Pitch0.5mm,Å†
M1,DC_MOTOR,Pin_Headers:Pin_Header_Straight_1x02,Å†
P1,CONN_02X03,Pin_Headers:Pin_Header_Straight_2x03,Å†
P2,CONN_02X03,Pin_Headers:Pin_Header_Straight_2x03,Å†
Q1,NMSD200B01,mylib:SOT-363,Å†
Q2,SSM3J328RLFCT,TO_SOT_Packages_SMD:SOT-23,Å†
Q3,ST-1KL3A,Pin_Headers:Pin_Header_Straight_1x02,Å†
Q4,ST-1KL3A,Pin_Headers:Pin_Header_Straight_1x02,Å†
Q5,RUM003N02,mylib:SOT-723,Å†
Q6,ST-1KL3A,Pin_Headers:Pin_Header_Straight_1x02,Å†
Q7,ST-1KL3A,Pin_Headers:Pin_Header_Straight_1x02,Å†
Q8,RUM003N02,mylib:SOT-723,Å†
Q9,SSM3K329R,TO_SOT_Packages_SMD:SOT-23,Å†
R01,100,mylib:R_0402_HandSoldering,Å†
R02,100,mylib:R_0402_HandSoldering,Å†
R03,100,mylib:R_0402_HandSoldering,Å†
R04,100,mylib:R_0402_HandSoldering,Å†
R05,100,mylib:R_0402_HandSoldering,Å†
R06,100,mylib:R_0402_HandSoldering,Å†
R07,10k,mylib:R_0402_HandSoldering,Å†
R08,10k,mylib:R_0402_HandSoldering,Å†
R09,10k,mylib:R_0402_HandSoldering,Å†
R10,10k,mylib:R_0402_HandSoldering,Å†
R11,10k,mylib:R_0402_HandSoldering,Å†
R12,R,mylib:R_0402_HandSoldering,Å†
R13,R,mylib:R_0402_HandSoldering,Å†
R14,10k,mylib:R_0402_HandSoldering,Å†
R15,10k,mylib:R_0402_HandSoldering,Å†
R16,1k,mylib:R_0402_HandSoldering,Å†
R17,10k,mylib:R_0402_HandSoldering,Å†
R18,1k,mylib:R_0402_HandSoldering,Å†
R19,20,mylib:R_0402_HandSoldering,Å†
R20,1k,mylib:R_0402_HandSoldering,Å†
R21,1k,mylib:R_0402_HandSoldering,Å†
R22,10k,mylib:R_0402_HandSoldering,Å†
R23,20,mylib:R_0402_HandSoldering,Å†
R24,0,mylib:check_2pin_1.6mm,Å†
R25,0,mylib:check_2pin_1.6mm,Å†
R26,47k,mylib:R_0402_HandSoldering,Å†
R27,100,mylib:R_0402_HandSoldering,Å†
R28,47k,mylib:R_0402_HandSoldering,Å†
R29,10,mylib:R_0402_HandSoldering,Å†
R30,10k,mylib:R_0402_HandSoldering,Å†
R31,1k,mylib:R_0402_HandSoldering,Å†
SP1,UGCT7525NA4,mylib:UGCT7525AN4,Å†
SW1,SPST,,
SW2,PUSH_SW_s,mylib:PTS810,Å†
SW3,SPST,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.00mm,Å†
SW4,PUSH_SW_s,mylib:PTS810,Å†
U1,RX631,Housings_QFP:LQFP-64_10x10mm_Pitch0.5mm,Å†
U2,Z144SN005,Pin_Headers:Pin_Header_Straight_2x07_Pitch2.00mm,Å†
X1,7V,,
